Regiune,Superior,Liceal,Gimnazial,Primar,FaraScoala,PersoaneAnalfabete
Bucuresti-Ilfov,316830.5,301170.0,179311.0,80629.5,13161.5,4843.0
Centru,47964.0,90115.5,91615.66666666667,41923.333333333336,9867.833333333334,4200.333333333333
Nord-Est,49510.166666666664,93592.5,150272.0,84786.66666666667,16528.166666666668,6960.833333333333
Nord-Vest,55452.666666666664,98586.83333333333,110222.66666666667,48801.166666666664,12084.0,4189.5
Sud,50897.857142857145,109243.85714285714,117753.85714285714,70444.57142857143,14164.42857142857,7339.0
Sud-Est,44724.666666666664,85598.0,110985.66666666667,60705.333333333336,13760.833333333334,6584.666666666667
Sud-Vest,44809.6,97245.0,97904.2,59674.4,12143.6,5239.4
Vest,63290.75,106545.75,115886.25,51062.25,9285.5,3946.5
