Siruta,Localitate,Categorie dominanta
100576,Oras Buftea,Femei_45-64
104118,Mihai Bravu,Femei_45-64
104715,Putineiu,Femei_45-64
106318,Municipiul Baia Mare,Femei_45-64
107047,Arinis,Femei_45-64
107975,Desesti,Femei_45-64
109265,Oras Ulmeni,Femei_45-64
109773,Municipiul Drobeta-Turnu Severin,Femei_45-64
110456,Balta,Femei_45-64
114319,Municipiul Targu Mures,Femei_45-64
114453,Santana De Mures,Femei_45-64
114970,Acatari,Femei_45-64
116590,Eremitu,Femei_45-64
116938,Ganesti,Femei_45-64
118281,Oras Miercurea Nirajului,Femei_45-64
118511,Neaua,Femei_45-64
119723,Suseni,Femei_45-64
120254,Vanatori,Femei_45-64
120726,Municipiul Piatra-Neamt,Femei_45-64
120824,Savinesti,Femei_45-64
120860,Municipiul Roman,Femei_45-64
120888,Cordun,Femei_45-64
121055,Oras Targu Neamt,Femei_45-64
121108,Agapia,Femei_45-64
124563,Tasca,Femei_45-64
124634,Tamaseni,Femei_45-64
125347,Municipiul Slatina,Femei_45-64
125418,Oras Bals,Femei_45-64
130295,Calui,Femei_45-64
130302,Gavanesti,Femei_45-64
130534,Municipiul Ploiesti,Femei_45-64
130954,Oras Azuga,Femei_45-64
131103,Oras Breaza,Femei_45-64
131256,Municipiul Campina,Femei_45-64
131274,Poiana Campina,Femei_45-64
131407,Oras Mizil,Femei_45-64
131540,Oras Sinaia,Femei_45-64
131817,Oras Valenii De Munte,Femei_45-64
132342,Bertea,Femei_45-64
132404,Brebu,Femei_45-64
132805,Cornu,Femei_45-64
133330,Floresti,Femei_45-64
133688,Gura Vadului,Femei_45-64
133795,Izvoarele,Femei_45-64
134050,Magureni,Femei_45-64
135654,Talea,Femei_45-64
136483,Municipiul Satu Mare,Femei_45-64
136526,Municipiul Carei,Femei_45-64
136553,Capleni,Femei_45-64
136599,Oras Negresti-Oas,Femei_45-64
136642,Oras Tasnad,Femei_45-64
136919,Batarci,Femei_45-64
137728,Foieni,Femei_45-64
137746,Gherta Mica,Femei_45-64
138501,Petresti,Femei_45-64
138770,Sacaseni,Femei_45-64
139143,Tarsolt,Femei_45-64
139250,Urziceni,Femei_45-64
139704,Municipiul Zalau,Femei_45-64
140440,Camar,Femei_45-64
140627,Crasna,Femei_45-64
142239,Nusfalau,Femei_45-64
142550,Salatig,Femei_45-64
143450,Municipiul Sibiu,Femei_45-64
144349,Brateiu,Femei_45-64
144508,Carta,Femei_45-64
145275,Poiana Sibiului,Femei_45-64
145382,Rau Sadului,Femei_45-64
145471,Sadu,Femei_45-64
145934,Turnu Rosu,Femei_45-64
145961,Valea Viilor,Femei_45-64
146263,Municipiul Suceava,Femei_45-64
146502,Municipiul Campulung Moldovenesc,Femei_45-64
146539,Municipiul Falticeni,Femei_45-64
146584,Oras Gura Humorului,Femei_45-64
146628,Municipiul Radauti,Femei_45-64
146744,Municipiul Vatra Dornei,Femei_45-64
146904,Baia,Femei_45-64
147526,Cacica,Femei_45-64
147786,Cornu Luncii,Femei_45-64
149655,Ostra,Femei_45-64
150294,Straja,Femei_45-64
150418,Sucevita,Femei_45-64
150766,Vadu Moldovei,Femei_45-64
151978,Oras Zimnicea,Femei_45-64
155662,Bara,Femei_45-64
156589,Curtea,Femei_45-64
157969,Ohaba Lunga,Femei_45-64
159491,Livezile,Femei_45-64
159614,Municipiul Tulcea,Femei_45-64
159687,Oras Isaccea,Femei_45-64
160911,Murighiol,Femei_45-64
161794,Municipiul Barlad,Femei_45-64
161829,Municipiul Husi,Femei_45-64
161945,Municipiul Vaslui,Femei_45-64
167473,Municipiul Ramnicu Valcea,Femei_45-64
167909,Oras Calimanesti,Femei_45-64
167981,Municipiul Dragasani,Femei_45-64
168041,Oras Horezu,Femei_45-64
174744,Municipiul Focsani,Femei_45-64
174860,Municipiul Adjud,Femei_45-64
175019,Oras Odobesti,Femei_45-64
175055,Oras Panciu,Femei_45-64
177726,Slobozia Ciorasti,Femei_45-64
177762,Soveja,Femei_45-64
177842,Suraia,Femei_45-64
178279,Urechesti,Femei_45-64
178313,Valea Sarii,Femei_45-64
179132,Municipiul Bucuresti,Femei_45-64
179631,Treznea,Femei_45-64
179640,Vulcana-Pandele,Femei_45-64
179677,Camin,Femei_45-64
180037,Boghis,Femei_45-64
180091,Racsa,Femei_45-64
