Siruta,localitate,Procent participare
80980,Negomir,56.62438336856942
86519,Santimbru,56.61252900232019
85412,Remetea,56.55880643286185
6627,Ramet,56.55021834061135
102446,Daia,56.51140684410647
73665,Piscu Vechi,56.49953574744661
110296,Bala,56.42201834862385
71885,Cosoveni,56.375838926174495
70094,Isalnita,56.29082646975291
161348,Stejaru,56.144578313253014
72819,Grecesti,56.13899613899614
30988,Salacea,56.077795786061586
140477,Carastelec,56.062424969987994
30719,Remetea,55.94882729211088
91116,Salasu De Sus,55.92004100461302
72150,Dragotesti,55.87544065804936
179793,Buesti,55.875299760191844
26920,Oras Nucet,55.85014409221902
154709,Toporu,55.64795564795565
31208,Spinus,55.62632696390658
87996,Baru,55.54577464788732
92783,Albesti,55.50847457627118
179837,Coas,55.470737913486005
141884,Lozna,55.46666666666667
50987,Ocna De Fier,55.42372881355932
29760,Lazuri De Beius,55.38116591928251
88644,Bretea Romana,55.37948290241868
154852,Vedea,55.31443755535872
85840,Sansimion,55.23297491039426
154932,Vartoape,55.22098105876639
110875,Brosteni,55.118110236220474
140440,Camar,55.10976532929599
11478,Moneasa,55.05181347150259
34477,Sanmihaiu De Campie,55.04587155963303
125105,Ruginoasa,55.035737491877846
96334,Coarnele Caprei,55.02958579881657
53489,Coronini,55.0
11236,Hasmas,54.9949545913219
104975,Schitu,54.96845425867508
36649,Cordareni,54.81111903064861
105106,Singureni,54.63286713286713
111550,Darvari,54.63008329250368
130302,Gavanesti,54.59119496855346
47818,Murgesti,54.5827633378933
81576,Runcu,54.56642066420664
74915,Ghindeni,54.48051948051948
151932,Crevenicu,54.47154471544715
73594,Perisor,54.45180279617366
110027,Obarsia-Closani,54.406580493537014
109265,Oras Ulmeni,54.36229852838122
155109,Dracea,54.354838709677416
71910,Cotofenii Din Dos,54.33403805496829
4302,Farau,54.32
128301,Poboru,54.282034771410174
10701,Dieci,54.23728813559322
70566,Almaj,54.23297262889879
89348,Densus,54.13290113452188
7197,Scarisoara,54.08
77587,Poiana,54.03111739745403
74859,Carcea,54.00724929520741
49439,Scutelnici,54.0
173597,Sutesti,53.87344766410408
111783,Garla Mare,53.81679389312977
91447,Tomesti,53.80047505938242
1071,Ciugud,53.765060240963855
77377,Tepu,53.709349593495936
155154,Uda-Clocociov,53.64842454394693
71518,Caraula,53.62167795726941
113732,Tamna,53.57585779247623
153026,Galateni,53.51972041937094
178965,Spulber,53.49065880039331
71572,Castranova,53.427895981087474
154166,Sfintesti,53.40909090909091
73013,Macesu De Sus,53.353658536585364
80677,Lelesti,53.288590604026844
140084,Babeni,53.10136157337367
125374,Slatioara,53.100950656405615
77509,Varlezi,53.026315789473685
159516,Bucovat,52.87485907553551
87246,Banita,52.83400809716599
152412,Calmatuiu,52.80276816608997
116723,Faragau,52.79552715654952
107083,Asuaju De Sus,52.79441117764471
56265,Borsa,52.75519421860885
51243,Armenis,52.69582909460834
141134,Galgau,52.65986029016658
142774,Surduc,52.62983790936156
134390,Plopu,52.54323499491353
141376,Hereclean,52.476780185758514
175224,Barsesti,52.467532467532465
153623,Plopii-Slavitesti,52.46241575946086
28816,Copacel,52.458033573141485
175983,Dumitresti,52.36486486486486
142854,Samsud,52.325581395348834
171469,Milcoiu,52.3121387283237
29902,Lugasu De Jos,52.30769230769231
57449,Cornesti,52.28699551569507
101378,Bucsani,52.28018971178402
74907,Ghidici,52.26537216828479
112469,Izvoru Barzii,52.249890782000875
10239,Brazii,52.18718209562564
170444,Gusoeni,52.170138888888886
29813,Lazareni,52.11864406779661
152724,Didesti,52.103559870550164
29243,Draganesti,52.08591491119372
127563,Milcov,52.00314218381775
32179,Sannicolau Roman,52.00225606316977
8229,Vadu Motilor,51.956323930846224
141081,Fildu De Jos,51.94931773879142
90066,Lelese,51.92307692307692
63326,Gradina,51.894374282433986
46251,Cilibia,51.88933873144399
82617,Oras Turceni,51.84797246745474
111685,Floresti,51.838235294117645
104421,Nuci,51.81653042688465
180037,Boghis,51.801495581237255
54270,Teregova,51.79344465058751
91937,Valisoara,51.79282868525896
27935,Bulz,51.73836181496759
89954,Lapugiu De Jos,51.73383317713215
28889,Cristioru De Jos,51.69491525423729
142952,Valcau De Jos,51.63800163800164
28139,Capalna,51.596638655462186
69964,Bucovat,51.578947368421055
46439,Colti,51.570048309178745
104582,Petrachioaia,51.54011461318051
52954,Goruia,51.52439024390244
112904,Dubova,51.477832512315274
73905,Rast,51.43859649122807
152868,Draganesti De Vede,51.42348754448398
7044,Salistea,51.422550052687036
30470,Pomezeu,51.39275766016713
174511,Lacusteni,51.37111517367459
81754,Sacelu,51.36702568351284
61167,Cerchezu,51.34383688600556
120511,Bereni,51.343283582089555
91330,Soimus,51.34138162307176
63161,Dumbraveni,51.31264916467781
153829,Putineiu,51.3049013367282
27007,Oras Vascau,51.28073770491803
9832,Archis,51.241721854304636
56014,Belis,51.228389444949954
44934,Balta Alba,51.217038539553755
102106,Comana,51.16585182399398
138869,Socond,51.08421583459405
126077,Bucinisu,51.07458912768647
84102,Carta,50.99513489606369
103372,Gostinari,50.89334055224689
173132,Stanesti,50.857142857142854
16454,Domnesti,50.81143740340031
88350,Blajeni,50.7531865585168
128436,Priseaca,50.70842654735272
3805,Cergau,50.705329153605014
113607,Svinita,50.70242656449553
102641,Dragoesti,50.67750677506775
71723,Cernatesti,50.65028901734104
108151,Giulesti,50.62523683213338
72882,Izvoare,50.58139534883721
32090,Varciorog,50.55831265508685
130311,Ghimpeteni,50.50675675675676
129898,Visina,50.48543689320388
107047,Arinis,50.468384074941454
126825,Dobrun,50.4222972972973
88449,Bosorod,50.404480398257625
80365,Glogova,50.35143769968051
53345,Naidas,50.34965034965035
171209,Madulari,50.31905195989061
179604,Poienile Izei,50.27624309392265
88047,Bacia,50.25575447570333
83375,Pauleni-Ciuc,50.25062656641604
102605,Dragomiresti-Vale,50.210783226092744
128221,Plesoiu,50.206440957886045
88788,Buces,50.19893899204244
174218,Voicesti,50.16260162601626
59327,Savadisla,50.14318442153494
27631,Bors,50.05494505494506
89080,Burjuc,50.0
143067,Zalha,50.0
73317,Marsani,49.91798797156916
74875,Cotofenii Din Fata,49.810844892812106
45389,Bozioru,49.74293059125964
47079,Gura Teghii,49.657163478888485
126674,Dobretu,49.65585054080629
114079,Vrata,49.63934426229508
84825,Lupeni,49.580272822665265
38544,Pomarla,49.53905870936438
33881,Milas,49.498997995991985
101724,Cascioarele,49.47735191637631
179739,Malu,49.46418499717992
44113,Surdila-Gaiseanca,49.43762781186094
52785,Farliug,49.42450914014895
126102,Cezieni,49.421128798842254
47916,Oras Nehoiu,49.41559901101371
70744,Argetoaia,49.411764705882355
140823,Criseni,49.407718761941155
44328,Ulmu,49.4061757719715
34850,Sieut,49.31640625
103354,Gostinu,49.316005471956224
34075,Nuseni,49.31330472103004
109354,Valea Chioarului,49.27710843373494
71457,Calopar,49.2436974789916
90725,Rachitova,49.23371647509578
84923,Martinis,49.22613929492692
111444,Cujmir,49.21230307576894
77579,Negrilesti,49.187180678123546
126772,Dobroteasa,49.16067146282974
113974,Voloiac,49.16030534351145
63893,Bodoc,49.15422885572139
130320,Gradinile,49.13722267871816
149851,Poiana Stampei,49.11433172302738
4268,Dostat,49.09090909090909
6547,Radesti,49.07235621521336
153776,Vitanesti,49.06860517946388
113625,Sisesti,49.04397705544933
152993,Frumoasa,49.034267912772584
113206,Pristol,49.01153212520593
58204,Izvoru Crisului,48.96825396825397
47854,Naeni,48.91975308641975
153204,Mavrodin,48.872950819672134
89856,Ilia,48.86401053671386
54056,Slatina-Timis,48.84920634920635
107190,Basesti,48.82849109653233
127322,Icoana,48.80952380952381
47417,Margaritesti,48.8
130357,Osica De Jos,48.72
141786,Letca,48.66008462623413
152172,Botoroaga,48.65071283095723
112744,Obarsia De Camp,48.64677307425399
74883,Dobrotesti,48.62657757980698
71260,Breasta,48.61362266425557
129629,Urzica,48.61271676300578
135654,Talea,48.51367419738407
105909,Vedea,48.51024208566108
80908,Musetesti,48.507462686567166
90878,Rau De Mori,48.50115295926211
71126,Bralostita,48.461792920939466
172377,Popesti,48.4248788368336
30648,Rabagani,48.403256105197244
152252,Branceni,48.397150489759575
27846,Budureasa,48.35834896810506
28610,Ciuhoi,48.33887043189369
135681,Tataru,48.33574529667149
52758,Ezeris,48.3197093551317
156035,Bogda,48.25870646766169
27560,Borod,48.257725180802105
169404,Danicei,48.24667472793229
28941,Curatele,48.230088495575224
172947,Scundu,48.167202572347264
70897,Bistret,48.1668773704172
149049,Horodniceni,48.163841807909606
86453,Tomesti,48.158508158508155
65707,Gura Foii,48.14225053078556
14726,Botesti,48.11529933481153
104788,Rasuceni,48.113755078351716
26582,Sanmartin,48.10597999574377
74923,Intorsura,48.099173553719005
103899,Izvoarele,48.08400884303611
112548,Jiana,48.0472042708626
40991,Fundata,47.98136645962733
75864,Cavadinesti,47.96320630749015
112334,Ilovita,47.940074906367045
153339,Marzanesti,47.92310332990045
154834,Tiganesti,47.906976744186046
113894,Vanjulet,47.896213183730715
58534,Marisel,47.80526735833998
48922,Racoviteni,47.80487804878049
105570,Tunari,47.76958201615736
74224,Silistea Crucii,47.76119402985075
14673,Boteni,47.67975522692504
28193,Carpinet,47.64397905759162
130375,Visina Noua,47.638888888888886
127411,Leleasca,47.61467889908257
178046,Tamboesti,47.586790855207454
28497,Cherechiu,47.53018660812294
83151,Bradesti,47.50911300121507
155840,Bethausen,47.50453720508167
66580,Cobia,47.45286803048536
153124,Lisa,47.443997702469844
78089,Turcinesti,47.43801652892562
28077,Cabesti,47.43421052631579
155145,Saelele,47.42765273311897
146012,Alma,47.40218088518281
112879,Patulele,47.33108108108108
8014,Sugag,47.25609756097561
77288,Suceveni,47.22627737226277
5826,Mogos,47.22222222222222
