Siruta,Localitate,Categorie dominanta
14165,Baiculesti,Barbati_45-64
14272,Balilesti,Barbati_45-64
14352,Beleti-Negresti,Barbati_45-64
14405,Berevoesti,Barbati_45-64
14450,Barla,Barbati_45-64
14584,Bogati,Barbati_45-64
14673,Boteni,Barbati_45-64
14726,Botesti,Barbati_45-64
14753,Bradulet,Femei_45-64
14851,Budeasa,Barbati_45-64
14922,Bughea De Jos,Barbati_45-64
14940,Buzoesti,Barbati_45-64
15064,Caldararu,Barbati_45-64
15108,Calinesti,Barbati_45-64
15233,Cateasca,Barbati_45-64
15313,Cepari,Barbati_45-64
15402,Cetateni,Barbati_45-64
15448,Cicanesti,Barbati_45-64
15493,Ciofrangeni,Barbati_45-64
15554,Ciomagesti,Barbati_45-64
15652,Cocu,Barbati_45-64
15741,Corbeni,Barbati_45-64
15830,Corbi,Femei_45-64
15901,Cosesti,Barbati_45-64
15983,Cotmeana,Barbati_45-64
16132,Cuca,Barbati_45-64
16285,Davidesti,Barbati_45-64
16329,Dambovicioara,Barbati_45-64
16365,Darmanesti,Barbati_45-64
16427,Dobresti,Barbati_45-64
16454,Domnesti,Barbati_45-64
16472,Dragoslavele,Barbati_45-64
16506,Draganu,Barbati_45-64
16551,Godeni,Barbati_45-64
16613,Harsesti,Barbati_45-64
16659,Hartiesti,Barbati_45-64
16739,Izvoru,Barbati_45-64
16757,Leordeni,Barbati_45-64
16908,Leresti,Barbati_45-64
16944,Lunca Corbului,Barbati_45-64
17049,Malureni,Barbati_45-64
17101,Merisani,Barbati_45-64
17209,Micesti,Barbati_45-64
17254,Mihaesti,Barbati_45-64
17334,Mioarele,Barbati_45-64
17398,Mirosi,Barbati_45-64
17423,Moraresti,Barbati_45-64
17496,Mosoaia,Barbati_45-64
17575,Mozaceni,Barbati_45-64
17619,Musatesti,Barbati_45-64
17726,Negrasi,Barbati_45-64
17771,Nucsoara,Barbati_45-64
17824,Oarja,Barbati_45-64
17851,Pietrosani,Barbati_45-64
17913,Poienarii De Arges,Femei_45-64
17968,Poienarii De Muscel,Barbati_45-64
18028,Poiana Lacului,Barbati_45-64
18162,Popesti,Barbati_45-64
18242,Priboieni,Barbati_45-64
18331,Ratesti,Barbati_45-64
18411,Recea,Barbati_45-64
18475,Rociu,Femei_65_
18527,Rucar,Barbati_45-64
18554,Salatrucu,Femei_45-64
18581,Sapata,Barbati_45-64
18670,Schitu Golesti,Barbati_45-64
18741,Slobozia,Barbati_45-64
18778,Stalpeni,Barbati_45-64
18858,Stoenesti,Barbati_45-64
18938,Stolnici,Barbati_45-64
19007,Suseni,Barbati_45-64
19114,Stefan Cel Mare,Barbati_45-64
19141,Suici,Femei_45-64
19212,Teiu,Barbati_45-64
19249,Tigveni,Barbati_45-64
19338,Titesti,Barbati_45-64
19392,Uda,Barbati_45-64
19560,Ungheni,Barbati_45-64
19631,Valea Danului,Barbati_45-64
19695,Valea Iasului,Barbati_45-64
19793,Vedea,Barbati_45-64
19999,Vladesti,Barbati_45-64
20048,Raca,Barbati_45-64
20055,Vulturesti,Barbati_45-64
20063,Bughea De Sus,Barbati_45-64
20297,Municipiul Bacau,Femei_45-64
20313,Hemeius,Barbati_45-64
20359,Letea Veche,Barbati_45-64
20411,Magura,Barbati_45-64
20466,Margineni,Barbati_45-64
20563,Municipiul Onesti,Femei_45-64
20607,Gura Vaii,Barbati_45-64
20670,Stefan Cel Mare,Barbati_45-64
20778,Oras Buhusi,Femei_45-64
20821,Oras Comanesti,Femei_45-64
20876,Municipiul Moinesti,Barbati_45-64
20910,Oras Slanic-Moldova,Barbati_45-64
20965,Oras Targu Ocna,Femei_45-64
21007,Agas,Barbati_45-64
21098,Ardeoani,Barbati_45-64
21123,Asau,Barbati_45-64
