Cluster,price,year,mileage,p_brand,p_state
0,8875.97628458498,2013.8537549407115,103561.40118577075,ford,texas
1,1861.5,2003.525,232047.9375,ford,texas
2,34886.37001594896,2018.1180223285487,27318.14673046252,ford,pennsylvania
3,15852.638413685847,2017.975894245723,33125.99766718507,ford,florida
