Siruta,Localitate,PlantePermanente,PlanteNepermanente,PlanteInmultire,CrestereaAnimalelor,FermeMixte,ActivitatiAuxiliare
106746,Oras Borsa,61258.0,0.0,0.0,0.0,0.0,0.0
147713,Carlibaba,0.0,0.0,0.0,0.0,0.0,0.0
24837,Rachitoasa,0.0,0.0,0.0,0.0,0.0,0.0
155911,Biled,5605729.0,0.0,0.0,576086.0,0.0,2441297.0
131336,Oras Comarnic,0.0,0.0,0.0,0.0,0.0,0.0
73996,Sadova,435718.0,0.0,0.0,0.0,0.0,0.0
16659,Hartiesti,0.0,0.0,0.0,0.0,0.0,0.0
114970,Acatari,0.0,0.0,0.0,0.0,797724.0,0.0
49439,Scutelnici,1.0166921E7,0.0,0.0,0.0,0.0,86514.0
106782,Oras Cavnic,0.0,0.0,0.0,0.0,0.0,0.0
41248,Homorod,0.0,0.0,0.0,0.0,0.0,0.0
123175,Margineni,0.0,0.0,0.0,0.0,0.0,0.0
164133,Grivita,780875.0,0.0,0.0,0.0,0.0,0.0
98603,Prisacani,16000.0,0.0,0.0,0.0,0.0,0.0
57644,Fizesu Gherlii,0.0,0.0,0.0,0.0,1989778.0,0.0
74028,Salcuta,370789.0,0.0,0.0,0.0,0.0,0.0
65841,Municipiul Moreni,0.0,0.0,0.0,759694.0,0.0,0.0
172340,Pietrari,0.0,0.0,0.0,0.0,0.0,0.0
155957,Barna,0.0,0.0,0.0,0.0,0.0,0.0
90431,Pestisu Mic,0.0,0.0,0.0,0.0,0.0,0.0
106817,Oras Targu Lapus,0.0,0.0,0.0,0.0,0.0,0.0
82243,Stejari,0.0,0.0,0.0,0.0,0.0,0.0
41284,Jibert,0.0,0.0,0.0,0.0,0.0,0.0
147786,Cornu Luncii,0.0,0.0,0.0,0.0,0.0,0.0
49484,Siriu,0.0,0.0,0.0,0.0,0.0,0.0
65869,Iedera,0.0,0.0,0.0,0.0,0.0,0.0
131407,Oras Mizil,2.9526415E7,0.0,0.0,3.6349633E7,2834147.0,741145.0
74073,Scaesti,645276.0,0.0,0.0,0.0,0.0,51050.0
98649,Probota,743297.0,0.0,0.0,0.0,0.0,0.0
172377,Popesti,0.0,0.0,0.0,151918.0,0.0,0.0
123228,Moldoveni,2766564.0,0.0,0.0,0.0,0.0,2650011.0
33122,Chiuza,0.0,0.0,0.0,0.0,0.0,0.0
16739,Izvoru,1369081.0,0.0,0.0,0.0,0.0,638897.0
164197,Hoceni,0.0,0.0,0.0,0.0,0.0,0.0
57706,Floresti,336777.0,0.0,0.0,6.3652431E7,0.0,0.0
131443,Oras Plopeni,0.0,0.0,0.0,0.0,0.0,0.0
16757,Leordeni,924177.0,170280.0,25315.0,0.0,0.0,0.0
123255,Oniceni,0.0,0.0,0.0,0.0,0.0,0.0
98685,Raducaneni,1667944.0,0.0,0.0,0.0,0.0,2371658.0
74108,Seaca De Camp,0.0,0.0,0.0,0.0,29233.0,0.0
65921,Oras Pucioasa,31254.0,0.0,0.0,0.0,0.0,0.0
156035,Bogda,0.0,0.0,0.0,0.0,0.0,0.0
41346,Lisa,0.0,345203.0,0.0,0.0,0.0,0.0
115076,Adamus,467836.0,0.0,0.0,1146726.0,0.0,125347.0
131461,Dumbravesti,0.0,0.0,0.0,0.0,0.0,0.0
49545,Smeeni,8495954.0,0.0,0.0,0.0,0.0,2208120.0
82314,Stoina,38723.0,0.0,0.0,0.0,0.0,0.0
57742,Frata,0.0,69764.0,0.0,0.0,1070730.0,0.0
74135,Seaca De Padure,0.0,0.0,0.0,1827818.0,0.0,0.0
33177,Cosbuc,0.0,0.0,0.0,0.0,0.0,0.0
41382,Maierus,0.0,0.0,0.0,0.0,0.0,0.0
24999,Rosiori,55377.0,0.0,0.0,0.0,0.0,0.0
90538,Pui,98755.0,0.0,0.0,0.0,0.0,210000.0
172457,Prundeni,0.0,0.0,0.0,0.0,0.0,688.0
147884,Crucea,0.0,0.0,0.0,0.0,0.0,0.0
33202,Dumitra,33870.0,0.0,0.0,0.0,0.0,0.0
98738,Romanesti,2604088.0,0.0,0.0,598345.0,0.0,2332251.0
164277,Dimitrie Cantemir,0.0,0.0,0.0,0.0,0.0,0.0
74171,Secu,0.0,0.0,0.0,0.0,0.0,57447.0
139704,Municipiul Zalau,7.183838E7,330523.0,0.0,4.1104263E7,6696872.0,121846.0
156106,Boldur,879796.0,0.0,0.0,1701271.0,0.0,4353260.0
41417,Mandra,0.0,0.0,0.0,0.0,0.0,0.0
