Siruta,Localitate,Judet,Populatie
58204,Izvoru Crisului,cj,1555
58259,Jucu,cj,4319
58311,Luna,cj,4687
58357,Maguri-Racatau,cj,2376
58393,Manastireni,cj,1449
58464,Margau,cj,1586
58534,Marisel,cj,1571
58552,Mintiu Gherlii,cj,3831
58623,Mociu,cj,3336
58721,Moldovenesti,cj,3228
58794,Palatca,cj,1124
58856,Panticeu,cj,1733
58918,Petrestii De Jos,cj,1541
58990,Ploscos,cj,690
59041,Poieni,cj,5052
59130,Recea-Cristur,cj,1380
59238,Risca,cj,1494
59283,Sacuieu,cj,1494
59327,Savadisla,cj,4176
59416,Sic,cj,2405
59434,Sancraiu,cj,1572
59498,Sanmartin,cj,1384
59586,Sanpaul,cj,2273
59657,Suatu,cj,1668
59693,Tritenii De Jos,cj,4699
59764,Tureni,cj,2235
59826,Taga,cj,1821
59880,Unguras,cj,2737
59942,Vad,cj,2026
60026,Valea Ierii,cj,937
60062,Viisoara,cj,5999
60099,Vultureni,cj,1367
60169,Negreni,cj,2393
60419,Municipiul Constanta,ct,317974
60455,Oras Eforie,ct,10986
60482,Municipiul Mangalia,ct,42237
60507,Oras Navodari,ct,41693
60534,Oras Techirghiol,ct,8076
60570,Agigea,ct,7937
60598,23-Aug,ct,5753
60632,Limanu,ct,6559
60687,Oras Ovidiu,ct,15620
60721,Tuzla,ct,7115
60776,Oras Cernavoda,ct,19401
60801,Oras Harsova,ct,11231
60847,Municipiul Medgidia,ct,46106
60883,Adamclisi,ct,2388
60945,Albesti,ct,3758
61005,Aliman,ct,2888
61069,Oras Baneasa,ct,5836
61121,Castelu,ct,5422
61167,Cerchezu,ct,1436
61210,Chirnogeni,ct,3403
61256,Ciobanu,ct,3530
61283,Ciocarlia,ct,3145
61318,Cobadin,ct,9499
61372,Cogealac,ct,5598
61452,Comana,ct,2019
61513,Corbu,ct,6292
61559,Crucea,ct,3255
61620,Cumpana,ct,14219
61675,Deleni,ct,2490
61737,Dobromir,ct,3505
61808,Garliciu,ct,1740
61826,Ghindaresti,ct,2728
61871,Independenta,ct,3058
61951,Ion Corvin,ct,2092
62020,Istria,ct,2588
62057,Lipnita,ct,3235
62137,Mereni,ct,2471
62191,Mihail Kogalniceanu,ct,10302
62253,Mihai Viteazu,ct,3725
62280,Mircea Voda,ct,5372
62360,Oras Murfatlar,ct,11649
62397,Oras Negru Voda,ct,5786
62440,Nicolae Balcescu,ct,5502
62486,Oltina,ct,2697
62538,Ostrov,ct,5035
62609,Pantelimon,ct,1841
62672,Pecineaga,ct,3418
62707,Pestera,ct,3564
62761,Poarta Alba,ct,5627
62798,Rasova,ct,3902
62823,Saraiu,ct,1335
62878,Sacele,ct,2406
62903,Seimeni,ct,2231
62949,Silistea,ct,1519
62985,Targusor,ct,1680
63045,Topalu,ct,1816
63072,Topraisar,ct,6182
63125,Valu Lui Traian,ct,14722
63152,Lumina,ct,10611
63161,Dumbraveni,ct,562
63170,Vulturu,ct,749
63189,Tortoman,ct,1925
63198,Amzacea,ct,2853
63278,Horia,ct,1173
63286,Costinesti,ct,3171
63294,Baraganu,ct,2148
63300,Cuza Voda,ct,4363
63318,Saligny,ct,2283
63326,Gradina,ct,1156
63334,Fantanele,ct,1632
63394,Municipiul Sfantu Gheorghe,cv,65118
63447,Oras Baraolt,cv,9366
63526,Oras Covasna,cv,11343
63553,Comandau,cv,1011
63580,Oras Intorsura Buzaului,cv,9368
63633,Barcani,cv,4023
63688,Sita Buzaului,cv,4881
63740,Municipiul Targu Secuiesc,cv,20281
63777,Aita Mare,cv,1671
63802,Batani,cv,4680
63866,Belin,cv,3031
63893,Bodoc,cv,2580
63937,Borosneu Mare,cv,3295
64005,Brates,cv,1497
64041,Bradut,cv,5108
64096,Bretcu,cv,3702
64130,Catalina,cv,3391
64194,Cernat,cv,4034
64238,Chichis,cv,1584
64265,Dobarlau,cv,2195
64318,Ghelinta,cv,5173
64345,Ghidfalau,cv,2673
64390,Haghig,cv,2327
64425,Ilieni,cv,2014
64461,Lemnia,cv,1930
64504,Malnas,cv,1066
64568,Moacsa,cv,1217
64602,Ojdula,cv,3586
64639,Ozun,cv,4655
64719,Poian,cv,1773
64773,Reci,cv,2299
64826,Sanzieni,cv,4679
64871,Turia,cv,3897
64906,Valea Crisului,cv,2430
64942,Valcele,cv,5040
64997,Varghis,cv,1850
65011,Zagon,cv,5347
65048,Zabala,cv,4870
65099,Valea Mare,cv,1154
65105,Mereni,cv,1318
65113,Arcus,cv,1600
65121,Bixad,cv,1821
65139,Micfalau,cv,1852
65147,Dalnic,cv,967
65154,Estelnic,cv,1155
65342,Municipiul Targoviste,db,93626
65379,Aninoasa,db,6211
65413,Doicesti,db,4789
65431,Razvad,db,8774
65477,Sotanga,db,7211
65501,Ulmi,db,4411
65609,Oras Fieni,db,7652
65645,Motaieni,db,2091
65681,Oras Gaesti,db,15346
65707,Gura Foii,db,2220
65752,Petresti,db,5623
65841,Municipiul Moreni,db,20524
65869,Iedera,db,3958
65921,Oras Pucioasa,db,15401
66009,Branesti,db,4330
66081,Oras Titu,db,10361
66152,Branistea,db,4186
66198,Baleni,db,8783
66223,Barbuletu,db,2205
66330,Bezdead,db,4560
66401,Bilciuresti,db,1847
66438,Buciumeni,db,4530
66474,Bucsani,db,6933
66526,Candesti,db,2803
66580,Cobia,db,3060
66697,Cojasca,db,8453
66731,Comisani,db,5185
66768,Contesti,db,4326
66857,Corbii Mari,db,8067
66955,Cornatelu,db,1426
67014,Cornesti,db,6266
67121,Costestii Din Vale,db,3545
67167,Crangurile,db,3445
67256,Darmanesti,db,4888
67292,Dobra,db,3632
67327,Dragodana,db,6703
67407,Dragomiresti,db,8785
67470,Finta,db,4149
67522,Glodeni,db,4356
67595,Gura Ocnitei,db,7312
67648,Gura Sutii,db,5395
67675,Hulubesti,db,3238
67737,I. L. Caragiale,db,6810
67773,Lucieni,db,3011
67835,Ludesti,db,5151
67906,Lunguletu,db,5513
67942,Malu Cu Flori,db,2303
68002,Manesti,db,5219
68048,Matasaru,db,5249
68128,Mogosani,db,4343
68182,Moroeni,db,5159
68253,Morteni,db,2839
68280,Nucet,db,4285
68324,Ocnita,db,4463
68342,Odobesti,db,5108
68404,Pietrosita,db,3196
68431,Poiana,db,3609
68468,Potlogi,db,8992
68529,Produlesti,db,3432
68565,Pucheni,db,1856
68627,Oras Racari,db,6524
68716,Runcu,db,4436
68789,Salcioara,db,3913
68887,Selaru,db,3164
68921,Tatarani,db,5199
68976,Uliesti,db,4131
69063,Valea Lunga,db,4773
69170,Valea Mare,db,2204
69250,Vacaresti,db,5214
69303,Valeni-Dambovita,db,2614
69330,Visina,db,4007
69394,Visinesti,db,1889
69447,Varfuri,db,1891
69526,Voinesti,db,6024
69615,Vulcana-Bai,db,3038
69900,Municipiul Craiova,dj,305946
69964,Bucovat,dj,4160
70094,Isalnita,dj,4014
70110,Podari,dj,6708
70174,Simnicu De Sus,dj,4671
70316,Municipiul Bailesti,dj,20016
70352,Municipiul Calafat,dj,18542
70414,Oras Filiasi,dj,18439
70502,Oras Segarcea,dj,8028
70520,Afumati,dj,2693
70566,Almaj,dj,1904
70637,Amarastii De Jos,dj,5590
70673,Amarastii De Sus,dj,1653
70726,Apele Vii,dj,2073
70744,Argetoaia,dj,4582
70879,Oras Bechet,dj,4353
70897,Bistret,dj,4316
70940,Barca,dj,4084
70968,Botosesti-Paia,dj,711
70986,Brabova,dj,1315
71055,Bradesti,dj,4498
71126,Bralostita,dj,3749
71199,Bratovoesti,dj,3187
71260,Breasta,dj,4182
71340,Bulzesti,dj,1414
71457,Calopar,dj,3895
71518,Caraula,dj,2518
71536,Carpen,dj,2309
71572,Castranova,dj,3223
71607,Calarasi,dj,5900
71634,Celaru,dj,4438
71698,Cerat,dj,4187
71723,Cernatesti,dj,1786
71787,Cetate,dj,5462
71812,Cioroiasi,dj,1519
71858,Ciupercenii Noi,dj,5235
71885,Cosoveni,dj,3268
71910,Cotofenii Din Dos,dj,2326
71956,Daneti,dj,5904
72007,Oras Dabuleni,dj,12181
72034,Desa,dj,4920
72052,Diosti,dj,3000
72098,Dobresti,dj,2394
72150,Dragotesti,dj,2141
72221,Dranic,dj,2434
72276,Farcas,dj,2091
72383,Galicea Mare,dj,4101
72409,Ghercesti,dj,1663
72463,Gighera,dj,2881
72506,Giubega,dj,2040
72533,Giurgita,dj,2992
72579,Gangiova,dj,2628
72604,Gogosu,dj,608
72640,Goicea,dj,2607
72677,Goiesti,dj,3030
72819,Grecesti,dj,1633
72882,Izvoare,dj,1575
72926,Leu,dj,4676
72953,Lipovu,dj,3255
72980,Macesu De Jos,dj,1272
73013,Macesu De Sus,dj,1257
73031,Maglavit,dj,4756
73068,Malu Mare,dj,4406
73102,Melinesti,dj,3979
73246,Mischii,dj,1655
73317,Marsani,dj,4648
73335,Motatei,dj,7149
73371,Murgasi,dj,2366
73460,Negoi,dj,2394
73503,Orodel,dj,2644
73567,Ostroveni,dj,5029
73594,Perisor,dj,1680
73629,Pielesti,dj,3634
73665,Piscu Vechi,dj,2751
73709,Plenita,dj,4624
73736,Poiana Mare,dj,10675
73772,Predesti,dj,2085
73852,Radovan,dj,1344
73905,Rast,dj,3565
73923,Robanesti,dj,2294
73996,Sadova,dj,8734
74028,Salcuta,dj,2162
74073,Scaesti,dj,2097
74108,Seaca De Camp,dj,1856
74135,Seaca De Padure,dj,975
74171,Secu,dj,1057
74224,Silistea Crucii,dj,1470
74242,Sopot,dj,1745
74322,Teasc,dj,3059
74359,Terpezita,dj,1556
74411,Teslui,dj,2312
74509,Tuglui,dj,2888
74536,Unirea,dj,3787
74554,Urzicuta,dj,3049
74581,Valea Stanciului,dj,5443
74616,Vela,dj,1859
74705,Verbita,dj,1283
74732,Vartop,dj,1706
74750,Varvoru De Jos,dj,2534
74842,Catane,dj,1991
74859,Carcea,dj,2307
74867,Carna,dj,1383
74875,Cotofenii Din Fata,dj,1972
74883,Dobrotesti,dj,1648
74891,Galiciuica,dj,1365
74907,Ghidici,dj,2398
74915,Ghindeni,dj,1814
74923,Intorsura,dj,1492
74931,Plesoi,dj,1343
74949,Rojiste,dj,2441
74956,Talpas,dj,1259
75098,Municipiul Galati,gl,304610
75114,Sendreni,gl,4527
75150,Vanatori,gl,5630
75203,Municipiul Tecuci,gl,45487
75221,Draganesti,gl,6608
75258,Munteni,gl,7787
75338,Oras Beresti,gl,3404
75356,Beresti-Meria,gl,3846
75472,Oras Targu Bujor,gl,7395
75515,Barcea,gl,6462
75542,Balabanesti,gl,2064
75613,Balasesti,gl,2350
75668,Baleni,gl,2441
75686,Baneasa,gl,2149
75711,Branistea,gl,4363
75766,Brahasesti,gl,9812
75819,Buciumeni,gl,2551
75864,Cavadinesti,gl,3048
75917,Certesti,gl,2402
75953,Corod,gl,7747
76004,Corni,gl,2242
76040,Cosmesti,gl,6749
76111,Costache Negri,gl,2758
76139,Cuca,gl,2269
76157,Cudalbi,gl,7624
76175,Draguseni,gl,5851
76255,Fartanesti,gl,5221
76282,Foltesti,gl,3322
76317,Frumusita,gl,5574
76353,Fundeni,gl,3909
76406,Ghidigeni,gl,6868
76497,Gohor,gl,3406
76558,Grivita,gl,3848
76585,Independenta,gl,4775
76601,Ivesti,gl,10204
76638,Jorasti,gl,1846
76674,Liesti,gl,10979
76692,Matca,gl,12542
76718,Mastacani,gl,5042
76745,Movileni,gl,3384
76763,Namoloasa,gl,2172
76807,Nicoresti,gl,4121
76932,Oancea,gl,1418
76969,Pechea,gl,11384
76996,Piscu,gl,4927
77028,Priponesti,gl,2252
77082,Rediu,gl,2212
77126,Scanteiesti,gl,2528
77153,Schela,gl,3839
77180,Slobozia Conachi,gl,4396
77224,Smardan,gl,5548
77260,Smulti,gl,1474
77288,Suceveni,gl,1797
77313,Tudor Vladimirescu,gl,5309
77331,Tulucesti,gl,7734
77377,Tepu,gl,2539
77402,Umbraresti,gl,7302
77475,Valea Marului,gl,3688
77509,Varlezi,gl,2062
77536,Vladesti,gl,2319
77561,Radesti,gl,1572
77579,Negrilesti,gl,2561
77587,Poiana,gl,1768
77595,Cuza Voda,gl,2806
77601,Suhurlui,gl,1431
77812,Municipiul Targu Jiu,gj,96887
77910,Balesti,gj,7417
78016,Dragutesti,gj,4996
78089,Turcinesti,gj,2110
78141,Municipiul Motru,gj,22945
78258,Oras Novaci,gj,5754
78329,Oras Targu Carbunesti,gj,8709
78454,Oras Ticleni,gj,4826
78472,Albeni,gj,2902
78542,Alimpesti,gj,1819
78604,Aninoasa,gj,3907
78668,Arcani,gj,1241
78711,Baia De Fier,gj,4291
78748,Balanesti,gj,2096
78828,Barbatesti,gj,1657
78873,Bengesti-Ciocadia,gj,3241
78926,Berlesti,gj,2075
79004,Balteni,gj,7704
79077,Bolbosi,gj,3312
79157,Borascu,gj,3341
79237,Branesti,gj,2312
79308,Oras Bumbesti-Jiu,gj,10088
79362,Bumbesti-Pitic,gj,2130
79406,Bustuchin,gj,3337
79497,Capreni,gj,2093
79585,Catunele,gj,2690
79656,Ciuperceni,gj,1532
79736,Calnic,gj,2218
79834,Crasna,gj,4897
79932,Cruset,gj,3239
80043,Danciulesti,gj,2056
80123,Danesti,gj,3668
80249,Dragotesti,gj,2567
80285,Farcasesti,gj,3261
80365,Glogova,gj,1962
80427,Godinesti,gj,1958
80506,Hurezani,gj,1652
80560,Ionesti,gj,2330
80613,Jupanesti,gj,2140
80677,Lelesti,gj,1730
80711,Licurici,gj,2216
80766,Logresti,gj,2645
80846,Matasari,gj,5333
80908,Musetesti,gj,1974
80980,Negomir,gj,3619
81095,Pades,gj,4929
81184,Pestisani,gj,3796
81264,Plopsoru,gj,6682
81380,Polovragi,gj,2743
81415,Prigoria,gj,2999
81497,Rosia De Amaradia,gj,3145
81576,Runcu,gj,5084
81656,Samarinesti,gj,1771
81754,Sacelu,gj,1454
81816,Saulesti,gj,2253
81861,Scoarta,gj,4605
81987,Schela,gj,1733
82047,Slivilesti,gj,3326
82136,Stanesti,gj,2231
82243,Stejari,gj,2412
82314,Stoina,gj,2315
82396,Telesti,gj,2758
82430,Oras Tismana,gj,7134
82555,Turburea,gj,4239
82617,Oras Turceni,gj,8117
82680,Tantareni,gj,5651
82733,Urdari,gj,3161
82779,Vagiulesti,gj,2568
82831,Vladimir,gj,2784
82895,Oras Rovinari,gj,13662
83133,Municipiul Odorheiu Secuiesc,hr,38590
83151,Bradesti,hr,2023
83197,Feliceni,hr,3335
83320,Municipiul Miercurea Ciuc,hr,42130
83375,Pauleni-Ciuc,hr,1922
83428,Oras Baile Tusnad,hr,1684
83464,Oras Balan,hr,7931
83491,Oras Borsec,hr,2772
83525,Oras Cristuru Secuiesc,hr,10801
83561,Municipiul Gheorgheni,hr,20031
83632,Municipiul Toplita,hr,16042
83749,Oras Vlahita,hr,7649
83785,Atid,hr,3075
83847,Avramesti,hr,2785
83936,Bilbor,hr,2678
83963,Capalnita,hr,2125
83981,Ciucsangeorgiu,hr,5028
84086,Ciumani,hr,4441
84102,Carta,hr,2779
84148,Corbu,hr,1482
84175,Corund,hr,6514
84237,Danesti,hr,2217
84264,Dealu,hr,4106
84344,Ditrau,hr,5903
84380,Darjiu,hr,1069
84415,Frumoasa,hr,3784
84460,Galautas,hr,2509
84558,Joseni,hr,5829
84594,Lazarea,hr,3599
84629,Lueta,hr,3703
84656,Lunca De Jos,hr,5675
84754,Lunca De Sus,hr,3425
84825,Lupeni,hr,4687
84923,Martinis,hr,2928
85056,Meresti,hr,1364
85074,Mihaileni,hr,2741
85127,Mugeni,hr,3600
85243,Ocland,hr,1332
85289,Plaiesii De Jos,hr,2857
85341,Praid,hr,6957
85412,Remetea,hr,6390
85467,Sacel,hr,1254
85528,Sarmas,hr,3996
85582,Secuieni,hr,2820
85626,Siculeni,hr,2866
85680,Sancraieni,hr,2619
85760,Sandominic,hr,6363
85788,Sanmartin,hr,2401
85840,Sansimion,hr,3637
85877,Subcetate,hr,1874
85920,Suseni,hr,5277
85984,Simonesti,hr,3942
86133,Tulghes,hr,3229
86188,Tusnad,hr,2216
86222,Ulies,hr,1178
86311,Varsag,hr,1676
86339,Voslabeni,hr,1989
86366,Zetea,hr,6016
86438,Madaras,hr,2243
86446,Cozmeni,hr,2260
86453,Tomesti,hr,2668
86461,Ciceu,hr,2797
86479,Leliceni,hr,2141
86487,Porumbeni,hr,1891
86495,Racu,hr,1639
86501,Satu Mare,hr,2117
86519,Santimbru,hr,2188
86687,Municipiul Deva,hd,70456
86749,Carjiti,hd,680
86810,Municipiul Hunedoara,hd,74279
86883,Ghelari,hd,2097
86936,Teliucu Inferior,hd,2546
86990,Municipiul Petrosani,hd,43219
87059,Municipiul Lupeni,hd,27186
87077,Oras Petrila,hd,25130
87139,Oras Uricani,hd,9851
87175,Municipiul Vulcan,hd,28952
87219,Oras Aninoasa,hd,4753
87246,Banita,hd,1153
87291,Municipiul Brad,hd,15937
87362,Criscior,hd,3898
87424,Oras Calan,hd,13358
87576,Oras Hateg,hd,10897
87638,Municipiul Orastie,hd,22598
87665,Oras Simeria,hd,13940
87745,Baia De Cris,hd,2559
87843,Balsa,hd,857
87996,Baru,hd,2779
88047,Bacia,hd,1844
88092,Baita,hd,3494
88216,Batrana,hd,122
88261,Beriu,hd,3401
88350,Blajeni,hd,1089
88449,Bosorod,hd,1982
88546,Branisca,hd,1576
88644,Bretea Romana,hd,2828
88788,Buces,hd,1890
88868,Bucuresci,hd,1562
88920,Bulzestii De Sus,hd,282
89026,Bunila,hd,323
89080,Burjuc,hd,819
89151,Cerbal,hd,462
89240,Certeju De Sus,hd,3034
89348,Densus,hd,1475
89428,Dobra,hd,3356
89561,Oras Geoagiu,hd,5638
89687,Gurasada,hd,1418
89801,Harau,hd,2098
89856,Ilia,hd,3674
89954,Lapugiu De Jos,hd,1427
90066,Lelese,hd,393
90119,Lunca Cernii De Jos,hd,887
90208,Luncoiu De Jos,hd,1775
90262,Martinesti,hd,1005
90342,Orastioara De Sus,hd,2158
90431,Pestisu Mic,hd,1152
90538,Pui,hd,4278
90663,Rapoltu Mare,hd,1983
90725,Rachitova,hd,1330
90805,Ribita,hd,1290
90878,Rau De Mori,hd,3236
90994,Romos,hd,2735
91054,Sarmizegetusa,hd,1189
91116,Salasu De Sus,hd,2307
91232,Santamaria-Orlea,hd,3194
91330,Soimus,hd,3500
91447,Tomesti,hd,1042
91535,Toplita,hd,770
91624,Totesti,hd,1906
91688,Turdas,hd,2098
91731,General Berthelot,hd,918
91795,Vata De Jos,hd,3626
91937,Valisoara,hd,1210
91982,Vetel,hd,2849
92097,Vorta,hd,793
92177,Zam,hd,1680
92569,Municipiul Calarasi,cl,77735
92587,Modelu,cl,10594
92658,Municipiul Slobozia,il,53117
92701,Municipiul Fetesti,il,35584
92765,Oras Tandarei,il,16992
92783,Albesti,il,1282
92836,Oras Amara,il,8002
92872,Andrasesti,il,2235
92907,Balaciu,il,1632
92961,Borcea,cl,8286
92989,Bordusani,il,5137
93021,Bucu,il,2470
93067,Oras Cazanesti,il,3584
93085,Ciocanesti,cl,4120
93101,Ciochina,il,3184
93156,Ciulnita,il,2494
93209,Cocora,il,2129
93236,Cosambesti,il,1848
93281,Cuza Voda,cl,3955
93325,Dichiseni,cl,1788
93370,Dor Marunt,cl,6809
93441,Dorobantu,cl,2821
93487,Dragalina,cl,8758
93539,Dragos Voda,cl,2930
93575,Facaeni,il,5565
93600,Gheorghe Doja,il,2638
93628,Gheorghe Lazar,il,2315
93646,Giurgeni,il,1474
93664,Gradistea,cl,4789
93717,Grindu,il,2109
93735,Grivita,il,3446
93771,Independenta,cl,3546
93815,Jegalia,cl,4294
93851,Lehliu,cl,2592
93888,Oras Lehliu Gara,cl,6711
93931,Lupsanu,cl,3198
93995,Mihail Kogalniceanu,il,3280
94045,Milosesti,il,2671
94081,Movila,il,1995
94107,Munteni-Buzau,il,3510
94125,Alexandru Odobescu,cl,2736
94161,Perieti,il,3739
94223,Perisoru,cl,5300
94269,Reviga,il,2826
94312,Roseti,cl,6482
94330,Salcioara,il,2249
94376,Saveni,il,3524
94429,Scanteia,il,3881
94456,Sfantu Gheorghe,il,1922
94492,Stelnica,il,1909
94535,Suditi,il,2127
94562,Stefan Cel Mare,cl,3289
94580,Stefan Voda,cl,2360
94606,Ulmu,cl,1365
94651,Unirea,cl,2780
94688,Valea Ciorii,il,1876
94731,Valcelele,cl,1742
94768,Vlad Tepes,cl,2108
94795,Vladeni,il,2176
95060,Municipiul Iasi,is,363312
95088,Barnova,is,6296
95159,Holboca,is,14886
95239,Rediu,is,6107
95293,Tomesti,is,13935
95355,Oras Harlau,is,12429
95391,Municipiul Pascani,is,43383
95471,Oras Targu Frumos,is,14593
95499,Ion Neculce,is,5821
95612,Alexandru I. Cuza,is,2918
95667,Andrieseni,is,4418
95747,Aroneanu,is,3812
95792,Baltati,is,5624
95872,Belcesti,is,11514
95943,Bivolari,is,4336
96003,Ungheni,is,4425
96058,Braesti,is,3213
96110,Butea,is,4319
96147,Ceplenita,is,4434
96192,Ciortesti,is,4273
96254,Ciurea,is,14490
96334,Coarnele Caprei,is,3057
96370,Comarna,is,5634
96423,Costuleni,is,5506
96478,Cotnari,is,7981
96593,Cozmesti,is,2885
96637,Cristesti,is,4084
96664,Cucuteni,is,1315
96717,Dagata,is,4941
96815,Deleni,is,10513
96888,Dobrovat,is,2415
96904,Dolhesti,is,2832
96940,Dumesti,is,5086
97009,Erbiceni,is,5787
97063,Focuri,is,4100
97090,Golaiesti,is,3995
97189,Gorban,is,3056
97241,Grajduri,is,8409
97321,Gropnita,is,3389
97394,Grozesti,is,1756
97438,Halaucesti,is,5856
97465,Helesteni,is,2755
97517,Horlesti,is,3117
97553,Ipatele,is,1829
97606,Lespezi,is,6004
97679,Letcani,is,7679
97722,Lungani,is,6331
97777,Madarjac,is,1675
97811,Mircesti,is,3968
97875,Mironeasa,is,5802
97919,Miroslava,is,15689
98051,Miroslovesti,is,4493
98113,Mogosesti,is,5324
98168,Mogosesti-Siret,is,3858
98202,Mosna,is,6853
98220,Motca,is,5481
98257,Movileni,is,3164
98300,Oteleni,is,3775
98337,Plugari,is,3536
98373,Oras Podu Iloaiei,is,11035
98435,Popesti,is,5573
98505,Popricani,is,8287
98603,Prisacani,is,3472
98649,Probota,is,3761
98685,Raducaneni,is,9248
98738,Romanesti,is,1856
98774,Ruginoasa,is,6456
98827,Schitu Duca,is,4116
98916,Scanteia,is,5428
98998,Scobinti,is,7666
99058,Sinesti,is,4592
99101,Siretel,is,4381
99165,Stolniceni-Prajescu,is,5509
99209,Strunga,is,4449
99290,Scheia,is,3364
99370,Sipote,is,5347
99441,Tansa,is,2588
99478,Tatarusi,is,5640
99539,Todiresti,is,5334
99600,Trifesti,is,4010
99673,Tibana,is,8177
99780,Tibanesti,is,8305
99879,Tiganasi,is,4809
99922,Tutora,is,2153
99968,Valea Seaca,is,6176
100004,Victoria,is,4534
100086,Vanatori,is,4705
100148,Vladeni,is,4432
100219,Voinesti,is,8096
100273,Bals,is,3650
100282,Costesti,is,1831
100308,Draguseni,is,1513
100317,Fantanele,is,2108
100326,Harmanesti,is,2496
100335,Rachiteni,is,3439
100344,Roscani,is,1559
100353,Valea Lupului,is,6467
100362,Ciohorani,is,2026
100521,Municipiul Giurgiu,gr,69105
100549,Slobozia,gr,2379
100576,Oras Buftea,if,22133
100610,Municipiul Oltenita,cl,28334
100638,Mitreni,cl,4211
100683,Municipiul Urziceni,il,17501
100709,Ciocarlia,il,781
100736,Manasia,il,4681
100754,Adancata,il,2474
100781,Adunatii-Copaceni,gr,6144
100834,Afumati,if,7916
100852,Alexeni,il,2399
100870,Armasesti,il,2331
100923,Axintele,il,2435
100969,Balotesti,if,8265
101001,Baneasa,gr,4977
101056,Barcanesti,il,3632
101083,Belciugatele,cl,2151
101145,Berceni,if,5827
101163,Bolintin-Deal,gr,6264
101190,Oras Bolintin-Vale,gr,13717
101243,Brazii,il,1201
101298,Branesti,if,8978
101341,Brezoaele,db,3598
101378,Bucsani,gr,3622
101458,Oras Budesti,cl,7738
101519,Bulbucata,gr,1367
101564,Butimanu,db,2290
101617,Buturugeni,gr,4008
101662,Calugareni,gr,5587
101724,Cascioarele,cl,1825
101742,Cernica,if,10339
101804,Chirnogi,cl,7395
101822,Chiselet,cl,3325
101840,Ciocanesti,db,5254
101902,Ciolpani,if,5123
101957,Ciorogarla,if,5819
101984,Clejani,gr,3573
102035,Clinceni,if,6411
102071,Colibasi,gr,3264
102106,Comana,gr,6785
102160,Corbeanca,if,6642
102213,Cornetu,if,5826
102240,Cosereni,il,4561
102286,Crevedia,db,5823
102348,Crevedia Mare,gr,4874
102419,Curcani,cl,5468
102446,Daia,gr,2587
102473,Dascalu,if,2881
102525,Darasti-Ilfov,if,2659
102543,1 Decembrie,if,8016
102570,Domnesti,if,8484
102605,Dragomiresti-Vale,if,4889
102641,Dragoesti,il,938
102703,Dridu,il,3325
102749,Oras Fierbinti-Targ,il,4643
102794,Floresti-Stoenesti,gr,8601
102838,Frasinet,cl,1713
102909,Fratesti,gr,5268
102945,Frumusani,cl,4970
103014,Fundeni,cl,4867
103032,Oras Fundulea,cl,6765
103087,Gaiseni,gr,5509
103130,Ganeasa,if,5136
103194,Gaujani,gr,2353
103238,Ghimpati,gr,5712
103283,Garbovi,il,3868
103309,Gogosari,gr,1789
103354,Gostinu,gr,1913
103372,Gostinari,gr,2329
103407,Gradinari,gr,3275
103443,Gradistea,if,3133
103470,Greaca,gr,2308
103513,Gruiu,if,6872
103568,Gurbanesti,cl,1190
103639,Hotarele,gr,3535
103693,Iepuresti,gr,1930
103764,Ileana,cl,3233
103862,Ion Roata,il,3750
103899,Izvoarele,gr,3502
103960,Jilavele,il,3460
103997,Joita,gr,3504
104047,Letca Noua,gr,3407
104083,Luica,cl,2133
104118,Mihai Bravu,gr,2451
104136,Oras Mihailesti,gr,7605
104181,Manastirea,cl,5550
104225,Marsa,gr,2762
104243,Moara Vlasiei,if,6184
104270,Movilita,il,2556
104323,Nana,cl,2405
104341,Nicolae Balcescu,cl,1627
104387,Niculesti,db,4324
104421,Nuci,if,2820
104485,Ogrezeni,gr,4715
104519,Oinacu,gr,3298
104546,Peris,if,7247
104582,Petrachioaia,if,3308
104635,Plataresti,cl,3530
104680,Prundu,gr,4269
104715,Putineiu,gr,2350
104751,Radovanu,cl,4075
104788,Rasuceni,gr,2323
104831,Roata De Jos,gr,8057
104886,Sarulesti,cl,2961
104975,Schitu,gr,1708
105026,Sinesti,il,2719
105106,Singureni,gr,3032
105142,Slobozia Moara,db,2023
105160,Snagov,if,7462
105222,Sohatu,cl,2699
105259,Spantov,cl,4758
105295,Stanesti,gr,2638
105348,Stoenesti,gr,1993
105384,Soldanu,cl,3419
105419,Stefanestii De Jos,if,6772
105455,Tamadau Mare,cl,2502
105534,Tartasesti,db,5118
105570,Tunari,if,5500
105605,Ulmeni,cl,5065
105623,Ulmi,gr,7442
105712,Valea Argovei,cl,2472
105776,Valea Dragului,gr,2869
105794,Valea Macrisului,il,1791
105829,Vasilati,cl,4404
105874,Varasti,gr,5921
105909,Vedea,gr,2727
105936,Vidra,if,8401
105972,Vanatorii Mici,gr,4677
106318,Municipiul Baia Mare,mm,147897
106363,Grosi,mm,2800
106407,Recea,mm,6154
106461,Oras Tautii-Magheraus,mm,8051
106559,Municipiul Sighetu Marmatiei,mm,44145
106620,Sarasau,mm,2754
106648,Vadu Izei,mm,2879
106684,Oras Baia Sprie,mm,17091
106746,Oras Borsa,mm,29881
106782,Oras Cavnic,mm,5255
106817,Oras Targu Lapus,mm,13219
106979,Oras Viseu De Sus,mm,18171
107001,Ardusat,mm,2764
107047,Arinis,mm,1035
107083,Asuaju De Sus,mm,1324
