Siruta,Localitate,Judet,Populatie
16551,Godeni,ag,3004
16613,Harsesti,ag,2286
16659,Hartiesti,ag,2290
16739,Izvoru,ag,2199
16757,Leordeni,ag,5707
16908,Leresti,ag,4640
16944,Lunca Corbului,ag,2702
17049,Malureni,ag,4686
17101,Merisani,ag,4643
17209,Micesti,ag,4624
17254,Mihaesti,ag,6126
17334,Mioarele,ag,1601
17398,Mirosi,ag,2368
17423,Moraresti,ag,1857
17496,Mosoaia,ag,5709
17575,Mozaceni,ag,2142
17619,Musatesti,ag,3684
17726,Negrasi,ag,2047
17771,Nucsoara,ag,1446
17824,Oarja,ag,2835
17851,Pietrosani,ag,5670
17913,Poienarii De Arges,ag,999
17968,Poienarii De Muscel,ag,3411
18028,Poiana Lacului,ag,6515
18162,Popesti,ag,2014
18242,Priboieni,ag,3532
18331,Ratesti,ag,3064
18411,Recea,ag,2769
18475,Rociu,ag,2504
18527,Rucar,ag,6048
18554,Salatrucu,ag,2227
18581,Sapata,ag,1626
18670,Schitu Golesti,ag,5075
18741,Slobozia,ag,4773
18778,Stalpeni,ag,5024
18858,Stoenesti,ag,4580
18938,Stolnici,ag,3066
19007,Suseni,ag,3067
19114,Stefan Cel Mare,ag,2365
19141,Suici,ag,2451
19212,Teiu,ag,1357
19249,Tigveni,ag,3495
19338,Titesti,ag,5129
19392,Uda,ag,1960
19560,Ungheni,ag,2800
19631,Valea Danului,ag,3020
19695,Valea Iasului,ag,2769
19793,Vedea,ag,3612
19999,Vladesti,ag,3223
20048,Raca,ag,1128
20055,Vulturesti,ag,2812
20063,Bughea De Sus,ag,3002
20297,Municipiul Bacau,bc,197362
20313,Hemeius,bc,5512
20359,Letea Veche,bc,6903
20411,Magura,bc,5105
20466,Margineni,bc,9863
20563,Municipiul Onesti,bc,52639
20607,Gura Vaii,bc,5286
20670,Stefan Cel Mare,bc,5257
20778,Oras Buhusi,bc,20838
20821,Oras Comanesti,bc,24059
20876,Municipiul Moinesti,bc,24715
20910,Oras Slanic-Moldova,bc,5169
20965,Oras Targu Ocna,bc,13134
21007,Agas,bc,6236
21098,Ardeoani,bc,2493
21123,Asau,bc,7154
21196,Balcani,bc,8127
21249,Beresti-Bistrita,bc,2246
21338,Beresti-Tazlau,bc,5740
21418,Berzunti,bc,5378
21454,Barsanesti,bc,4838
21506,Blagesti,bc,7649
21560,Bogdanesti,bc,2870
21597,Brusturoasa,bc,3510
21668,Buhoci,bc,5167
21720,Casin,bc,3970
21757,Caiuti,bc,5420
