Siruta,Localitate,CA_Totala
41621,Poiana Marului,0.0
156311,Cheveresu Mare,440.0
66198,Baleni,0.0
58008,Iara,90433.0
172698,Rosiile,0.0
17049,Malureni,6175.0
33435,Lechinta,41052713.0
148131,Dorna-Arini,0.0
139937,Agrij,8465.0
74411,Teslui,4635293.0
66223,Barbuletu,0.0
90805,Ribita,0.0
98998,Scobinti,5420649.0
107190,Basesti,4489245.0
82617,Oras Turceni,467417.0
49849,Tintesti,3636151.0
115389,Band,14947706.0
164543,Ivesti,0.0
41667,Prejmer,3780746.0
156357,Oras Ciacova,8946055.0
25291,Scorteni,0.0
139982,Almasu,0.0
17101,Merisani,0.0
123601,Pangarati,141367.0
107234,Bicaz,557485.0
41701,Racos,0.0
49894,Ulmeni,3691589.0
148202,Dorna Candrenilor,0.0
33514,Lesu,0.0
131817,Oras Valenii De Munte,6160.0
99058,Sinesti,0.0
164598,Laza,2623969.0
82680,Tantareni,0.0
131835,Gura Vitioarei,0.0
90878,Rau De Mori,4858158.0
33541,Livezile,39471759.0
107270,Bistra,0.0
41738,Recea,121704.0
74509,Tuglui,0.0
172812,Runcu,59820.0
25362,Secuieni,397053.0
156437,Comlosu Mare,30049787.0
66330,Bezdead,0.0
123674,Podoleni,1924749.0
99101,Siretel,73801.0
58142,Iclod,255979.0
49956,Vadu Pasii,1156161.0
74536,Unirea,11343429.0
82733,Urdari,0.0
107314,Barsana,0.0
140084,Babeni,118849.0
17209,Micesti,473689.0
131899,Adunati,0.0
9019,Cut,47048.0
74554,Urzicuta,1848209.0
156473,Costeiu,901502.0
123709,Poienari,0.0
115520,Batos,8212986.0
9026,Bucerdea Granoasa,304483.0
33603,Lunca Ilvei,3685.0
148293,Dornesti,3405470.0
164687,Lipovat,48992905.0
74581,Valea Stanciului,4099377.0
33621,Maieru,70718.0
107350,Bocicoiu Mare,0.0
41818,Sercaia,67195236.0
82779,Vagiulesti,0.0
58204,Izvoru Crisului,0.0
99165,Stolniceni-Prajescu,969869.0
172894,Salatrucel,0.0
131933,Albesti-Paleologu,55076643.0
66401,Bilciuresti,2286577.0
17254,Mihaesti,28244.0
50022,Valea Ramnicului,1482707.0
148328,Dragoiesti,751752.0
140146,Balan,5988009.0
90994,Romos,9006799.0
156534,Criciova,0.0
115575,Bagaciu,594979.0
74616,Vela,653364.0
33658,Matei,0.0
41854,Sinca,1800.0
66438,Buciumeni,0.0
99209,Strunga,13797724.0
107403,Bogdan Voda,0.0
82831,Vladimir,0.0
123790,Poiana Teiului,1304154.0
164749,Lunca Banului,12479844.0
25488,Solont,2776605.0
115600,Bala,0.0
172947,Scundu,2170.0
58259,Jucu,1318253.0
50068,Valea Salciei,0.0
131988,Alunis,0.0
148382,Draguseni,0.0
107430,Boiu Mare,0.0
132011,Apostolache,1666216.0
66474,Bucsani,2139526.0
91054,Sarmizegetusa,0.0
156589,Curtea,0.0
25521,Stanisesti,1243473.0
140208,Banisor,0.0
115637,Balauseri,517699.0
17334,Mioarele,0.0
50102,Vernesti,3767318.0
33729,Magura Ilvei,0.0
172992,Sinesti,0.0
41925,Sanpetru,36192.0
58311,Luna,554329.0
148426,Dumbraveni,14601949.0
156623,Darova,55747.0
82895,Oras Rovinari,0.0
74705,Verbita,0.0
140244,Benesat,26795.0
41943,Soars,198048.0
99290,Scheia,1854287.0
107485,Botiza,0.0
66526,Candesti,0.0
164829,Malusteni,0.0
33765,Mariselu,0.0
148453,Fantanele,299547.0
132075,Aricestii Rahtivani,9401809.0
74732,Vartop,8998781.0
91116,Salasu De Sus,30000.0
58357,Maguri-Racatau,0.0
17398,Mirosi,838659.0
1017,Municipiul Alba Iulia,98546005.0
140280,Bobota,2963960.0
115708,Beica De Jos,987138.0
107519,Budesti,0.0
74750,Varvoru De Jos,721099.0
156669,Denta,10256412.0
173061,Slatioara,11975.0
123914,Raucesti,8190506.0
17423,Moraresti,0.0
42003,Tarlungeni,10042330.0
66580,Cobia,0.0
58393,Manastireni,0.0
107546,Calinesti,16490.0
25629,Strugari,0.0
164892,Miclesti,0.0
148514,Forasti,0.0
140324,Bocsa,2259464.0
156712,Dudestii Vechi,58975359.0
99370,Sipote,0.0
132137,Aricestii Zeletin,0.0
9262,Municipiul Arad,163255885.0
1071,Ciugud,445752.0
50228,Vintila Voda,0.0
33845,Micestii De Campie,82007.0
115771,Bichis,793874.0
107582,Cernesti,880694.0
9280,Fantanele,2772250.0
123969,Razboieni,438791.0
132164,Baba Ana,145803440.0
42058,Teliu,151481.0
164936,Muntenii De Jos,4675981.0
173132,Stanesti,0.0
17496,Mosoaia,4054220.0
33881,Milas,365867.0
140379,Buciumi,129313.0
74842,Catane,1927468.0
25692,Tamasi,54000.0
42076,Ticusu,0.0
156767,Dumbrava,2297992.0
58464,Margau,0.0
91232,Santamaria-Orlea,464225.0
74859,Carcea,10231131.0
99441,Tansa,0.0
115824,Bogata,186900.0
74867,Carna,0.0
9333,Livada,4435055.0
42101,Ucea,11127481.0
164981,Oras Murgeni,14188607.0
74875,Cotofenii Din Fata,218277.0
124028,Rediu,3953.0
1151,Oras Abrud,86083.0
132226,Balta Doamnei,8222151.0
74883,Dobrotesti,0.0
156801,Oras Faget,1515055.0
148612,Oras Frasin,168322.0
66697,Cojasca,3796794.0
74891,Galiciuica,19955.0
115851,Breaza,2177300.0
107662,Cicarlau,0.0
9360,Sofronea,1005303.0
25745,Tatarasti,0.0
50326,Viperesti,0.0
99478,Tatarusi,0.0
74907,Ghidici,3287875.0
140440,Camar,6944764.0
33952,Monor,13498414.0
74915,Ghindeni,147266.0
58534,Marisel,0.0
17575,Mozaceni,134362.0
124073,Romani,2570438.0
66731,Comisani,2412610.0
74923,Intorsura,0.0
42156,Ungra,0.0
173230,Stoenesti,0.0
132271,Baltesti,27164.0
74931,Plesoi,0.0
9397,Vladimirescu,40768398.0
58552,Mintiu Gherlii,0.0
115897,Brancovenesti,0.0
148667,Fratautii Noi,68892.0
83133,Municipiul Odorheiu Secuiesc,1470532.0
1213,Municipiul Aiud,10980903.0
140477,Carastelec,4195198.0
107715,Campulung La Tisa,0.0
91330,Soimus,0.0
74949,Rojiste,645954.0
33989,Nimigea,0.0
42183,Vama Buzaului,0.0
74956,Talpas,0.0
83151,Bradesti,0.0
165069,Oltenesti,611510.0
66768,Contesti,39955928.0
99539,Todiresti,2777043.0
17619,Musatesti,30360.0
107733,Copalnic-Manastur,0.0
124117,Oras Roznov,63039918.0
148694,Fratautii Vechi,0.0
140501,Chiesd,8376073.0
132315,Banesti,2070657.0
50399,Valcelele,30176066.0
25825,Targu Trotus,219000.0
50415,Zarnesti,15866986.0
9459,Oras Chisineu-Cris,30654425.0
132342,Bertea,0.0
115959,Ceuasu De Campie,139477.0
124153,Sagna,5302568.0
148729,Frumosu,631985.0
42236,Vistea,4410874.0
83197,Feliceni,708984.0
156927,Fardea,0.0
58623,Mociu,3896112.0
140547,Cizer,1950.0
25861,Traian,14177655.0
165130,Osesti,0.0
99600,Trifesti,14283122.0
9495,Oras Curtici,14760154.0
132379,Boldesti-Gradistea,435607.0
34075,Nuseni,0.0
148765,Fundu Moldovei,39829.0
140583,Coseiu,0.0
66857,Corbii Mari,10185317.0
50479,Ziduri,29551398.0
124206,Sabaoani,26946815.0
91447,Tomesti,0.0
132404,Brebu,0.0
173374,Stoilesti,0.0
17726,Negrasi,7875908.0
9538,Oras Ineu,4923630.0
42307,Voila,2329232.0
165185,Padureni,107871.0
1348,Municipiul Blaj,16611520.0
124233,Secuieni,25656951.0
25932,Ungureni,431783.0
157004,Foeni,17619848.0
116046,Chetani,3137097.0
140627,Crasna,272037.0
